PadID,Diversion,padDA,flume
MCN17T,NA,2.734375,NC
MCN18C,NA,34.36657714,NC
MCN18T,NA,192.6295165,NC
MCN19C,NA,59.48120118,NC
MCN19T,NA,8.0258789,NC
MCN20C,NA,345.553833,NC
MCN20T,NA,20.24328613,NC
MCN21C,NA,29.81249999,NC
MCN21T,NA,142.6289063,NC
MCN22C,NA,38.68054197,NC
MCN22T,NA,5.468749999,NC
MCN23C,NA,45.46875,NC
MCN23T,NA,2.734374997,NC
MCN24C,NA,2.734375002,NC
MCN24T,NA,17.46875,C
MCN25C,NA,17.46875,NC
MCN25T,NA,13.46875,NC
MCN26C,NA,44.94995116,NC
MCN26T,NA,77.29687499,NC
MCN27C,NA,53.80395508,NC
MCN27T,NA,815.4855957,NC
MCN28C,NA,18.90856935,NC
MCN28T,NA,2.734375001,NC
MCN29C,NA,5.468750001,NC
MCN29T,NA,5.405517584,NC
MCN30C,NA,35.46289063,NC
MCN30T,NA,9.468749999,NC
NYK01C,NA,17.47143554,NC
NYK01T,NA,2.735717773,NC
NYK02C,NA,71.83377076,NC
NYK02T,NA,76.19714356,NC
NYK03C,NA,291.1691588,NC
NYK03T,NA,1413.832642,NC
NYK04C,NA,9.471435546,NC
NYK04T,NA,28.78735355,NC
NYK05C,NA,2.735717773,NC
NYK05T,NA,101.1589356,NC
NYK06C,NA,158.0159912,NC
NYK06T,NA,15.18844606,NC
NYK07C,NA,25.63845824,NC
NYK07T,NA,64.54547119,NC
NYK08C,NA,6.73571777,NC
NYK08T,NA,37.47143555,NC
NYK09C,NA,55.34136965,NC
NYK09T,NA,54.73571777,NC
NYK10C,NA,21.47143555,NC
NYK10T,NA,22.73571777,NC
NYK11C,NA,14.0769043,NC
NYK11T,NA,52.25601192,NC
NYK12C,NA,172.2912598,NC
NYK12T,NA,49.125,NC
NYK13C,NA,25.47143555,NC
NYK13T,NA,165.242279,NC
NYK14C,NA,41.47143555,NC
NYK14T,NA,5.461425784,NC
NYK15C,NA,21.65655516,NC
NYK15T,NA,8.265045164,NC
NYK16C,NA,142.263031,NC
NYK16T,NA,43.33267212,NC
NYK17C,NA,30.73571778,NC
NYK17T,NA,122.7357178,NC
NYK18C,NA,17.47143555,NC
NYK18T,NA,108.4078369,NC
NYK19C,NA,9.47143555,NC
NYK19T,NA,8609.266052,NC
NYK20C,NA,42.81091309,NC
NYK20T,NA,18.73571777,NC
NYK21C,NA,45.47143555,NC
NYK21T,NA,373.2193907,NC
NYK22C,NA,9.471435555,NC
NYK22T,NA,85.24853515,NC
NYK23C,NA,44.18887329,NC
NYK23T,NA,11.14352418,NC
NYK24C,NA,85.65756219,NC
NYK24T,NA,33.47143554,NC
NYK25C,NA,33.90194703,NC
NYK25T,NA,29.54357912,NC
NYK26C,NA,89.47143554,NC
NYK26T,NA,25.75131226,NC
NYK27C,NA,53.47143555,NC
NYK27T,NA,41.47143554,NC
NYK28C,NA,53.53527831,NC
NYK28T,NA,29.11328127,NC
NYK29C,NA,19.92254637,NC
NYK29T,NA,61.46209721,NC
NYK30C,NA,35.95468137,NC
NYK30T,NA,136.8607178,NC
RDM01C,NA,5.470092771,NC
RDM01T,NA,33.47009278,NC
RDM02C,NA,11.167099,NC
RDM02T,NA,8.246658321,NC
RDM03C,NA,2.73504639,NC
RDM03T,NA,2.735046384,NC
RDM04C,NA,2.735046383,NC
RDM04T,NA,12.20091248,NC
RDM05C,NA,5.450622555,NC
RDM05T,NA,8.000000004,NC
RDM06C,NA,12.20155335,NC
RDM06T,NA,5.124999999,NC
RDM07C,NA,79.92700195,NC
RDM07T,NA,9.297546383,NC
RDM08C,NA,13.47009278,NC
RDM08T,NA,2.735046388,NC
RDM09C,NA,2.735046385,NC
RDM09T,NA,9.470092773,NC
RDM10C,NA,1813.789169,NC
RDM10T,NA,59.00759889,NC
RDM11C,NA,212.5233307,NC
RDM11T,NA,2.73504639,NC
RDM12C,NA,87.12722778,NC
RDM12T,NA,5.470092775,NC
RDM13C,NA,152.8775634,NC
RDM13T,NA,5.450622555,NC
RDM14C,NA,14.76515198,NC
RDM14T,NA,61.78927612,NC
RDM15C,NA,675.633728,NC
RDM15T,NA,35.88867187,NC
RDM16C,NA,8.123687737,NC
RDM16T,NA,5429.808319,NC
RDM17C,NA,9.470092772,NC
RDM17T,NA,7.999999991,NC
RDM18C,NA,16.12368775,NC
RDM18T,NA,15055.83925,NC
RDM19C,NA,13.47009277,NC
RDM19T,NA,4547.119705,NC
RDM20C,NA,2.735046386,NC
RDM20T,NA,16.20689392,NC
RDM21C,NA,55.32757569,NC
RDM21T,NA,2.735046388,NC
RDM22C,NA,9.470092771,NC
RDM22T,NA,60.38203431,NC
RDM23C,NA,1234.737503,NC
RDM23T,NA,469.4242401,NC
RDM24C,NA,2.735046383,NC
RDM24T,NA,1660.120575,NC
RDM25C,NA,51.66073611,NC
RDM25T,NA,5.470092772,NC
RDM26C,NA,202.0084838,NC
RDM26T,NA,1608.050186,NC
RDM27C,NA,2.735046388,NC
RDM27T,NA,24.1973877,NC
RDM28C,NA,81.14918517,NC
RDM28T,NA,41.47009278,NC
RDM29C,NA,12.78355408,NC
RDM29T,NA,10.79254152,NC
RDM30C,NA,35097.72049,NC
RDM30T,NA,200.6710663,NC
RHO01C,NA,60.31176759,NC
RHO01T,NA,5.387573244,NC
RHO02C,NA,31.82043457,NC
RHO02Cv,Yes,0,NC
RHO02T,NA,2.734374998,NC
RHO02Tv,Yes,0,NC
RHO03C,NA,2.734375002,NC
RHO03Cv,Yes,0,NC
RHO03T,NA,9.468750006,NC
RHO04C,NA,348.0974732,NC
RHO04Cv,Yes,0,NC
RHO04T,NA,5.468749999,NC
RHO04Tv,Yes,0,NC
RHO05C,NA,82.37939453,C
RHO05Cv,Yes,0,C
RHO05T,NA,4.000000006,NC
RHO05Tv,Yes,0,NC
RHO06C,NA,1829.911255,C
RHO06T,NA,2.734375001,NC
