Year,SiteID,Time,weight,PadID,Days,Treatment,Position,flume,Diversion
2016,RHO,2,21.07,RHO04C,21,control,top,NC,
2017,RHO,1,90.57,RHO04C,23,control,top,NC,
2017,RHO,2,23.4,RHO04C,19,control,top,NC,
2017,RHO,3,24.73,RHO04C,28,control,top,NC,
2018,RHO,1,3.78,RHO04C,22,control,top,NC,
2018,RHO,2,24.37,RHO04C,14,control,top,NC,
2018,RHO,3,3.97,RHO04C,12,control,top,NC,
2019,RHO,1,47.4092,RHO04C,12,control,top,NC,
2019,RHO,2,16.5222,RHO04C,16,control,top,NC,
2019,RHO,3,14.4892,RHO04C,13,control,top,NC,
2016,RHO,1,0.79,RHO04T,22,strips,top,NC,
2016,RHO,2,0.93,RHO04T,21,strips,top,NC,
2017,RHO,1,3.67,RHO04T,23,strips,top,NC,
2017,RHO,2,10.44,RHO04T,19,strips,top,NC,
2017,RHO,3,47.42,RHO04T,28,strips,top,NC,
2018,RHO,1,1.59,RHO04T,22,strips,top,NC,
2018,RHO,2,21.87,RHO04T,14,strips,top,NC,
2018,RHO,3,1.98,RHO04T,12,strips,top,NC,
2019,RHO,1,7.2786,RHO04T,12,strips,top,NC,
2019,RHO,2,8.7107,RHO04T,16,strips,top,NC,
2019,RHO,3,6.8131,RHO04T,13,strips,top,NC,
2016,RHO,1,5.14,RHO05C,22,control,top,C,
2016,RHO,2,4.07,RHO05C,21,control,top,C,
2017,RHO,1,166.68,RHO05C,23,control,top,C,
2017,RHO,2,45.89,RHO05C,19,control,top,C,
2017,RHO,3,6.77,RHO05C,28,control,top,C,
2018,RHO,1,3.47,RHO05C,22,control,top,C,
2018,RHO,2,7.76,RHO05C,14,control,top,C,
2018,RHO,3,2.62,RHO05C,12,control,top,C,
2019,RHO,1,89.7266,RHO05C,12,control,top,C,
2019,RHO,2,44.3266,RHO05C,16,control,top,C,
2019,RHO,3,44.7266,RHO05C,13,control,top,C,
2016,RHO,1,3.58,RHO05T,22,strips,top,NC,
2016,RHO,2,50.53,RHO05T,21,strips,top,NC,
2017,RHO,1,35.03,RHO05T,23,strips,top,NC,
2017,RHO,2,4.92,RHO05T,19,strips,top,NC,
2017,RHO,3,1.09,RHO05T,28,strips,top,NC,
2018,RHO,1,1.12,RHO05T,22,strips,top,NC,
2018,RHO,2,82.67,RHO05T,14,strips,top,NC,
2018,RHO,3,4.41,RHO05T,12,strips,top,NC,
2019,RHO,1,262.0114,RHO05T,12,strips,top,NC,
2019,RHO,2,61.2114,RHO05T,16,strips,top,NC,
2019,RHO,3,78.7114,RHO05T,13,strips,top,NC,
2016,RHO,1,4.59,RHO06C,22,control,top,C,
2016,RHO,2,7.68,RHO06C,21,control,top,C,
2017,RHO,1,6.32,RHO06C,23,control,top,C,
2017,RHO,2,46.35,RHO06C,19,control,top,C,
2017,RHO,3,9.57,RHO06C,28,control,top,C,
2018,RHO,1,5.1,RHO06C,22,control,top,C,
2018,RHO,2,412.96,RHO06C,14,control,top,C,
2018,RHO,3,3.28,RHO06C,12,control,top,C,
